class,precision,recall,f1-score,support,f0.5-score,model
clothing~shorts~cargo shorts,0.8636363636363636,0.8397790055248618,0.8515406162464987,181,0.8587570621468926,bert
clothing~shorts~chino shorts,0.8095238095238095,0.725609756097561,0.7652733118971061,164,0.7912234042553192,bert
clothing~shorts~deck shorts,0.6111111111111112,0.44,0.5116279069767442,100,0.5670103092783505,bert
clothing~shorts~denim shorts,0.7596899224806202,0.9245283018867925,0.8340425531914893,106,0.7877813504823151,bert
clothing~shorts~drop-crotch shorts,0.8085106382978723,0.7169811320754716,0.76,53,0.7883817427385892,bert
clothing~shorts~knee-length shorts,0.5370370370370371,0.481994459833795,0.508029197080292,361,0.5250452625226313,bert
clothing~shorts~leather & faux leather shorts,0.57,0.8382352941176471,0.6785714285714286,68,0.6089743589743589,bert
clothing~shorts~mini shorts,0.6944444444444444,0.2403846153846154,0.3571428571428571,104,0.5040322580645161,bert
clothing~shorts~short shorts,0.7464212678936605,0.6287683031869078,0.6825619448340344,1161,0.7194953676325645,bert
clothing~shorts~tailored shorts,0.39197530864197533,0.6318407960199005,0.4838095238095238,201,0.4241816967267869,bert
clothing~shorts~track & running shorts,0.8383404864091559,0.804945054945055,0.8213034337771549,728,0.8314415437003404,bert
clothing~skirts~a-line skirts,0.6817155756207675,0.471875,0.5577100646352724,640,0.6260364842454393,bert
clothing~skirts~asymmetric & draped skirts,0.5234899328859061,0.7112462006079028,0.6030927835051547,329,0.5526688710439301,bert
clothing~skirts~fitted skirts,0.36416184971098264,0.6196721311475409,0.4587378640776699,305,0.39689206215875683,bert
clothing~skirts~full skirts,0.42718446601941745,0.3826086956521739,0.40366972477064217,230,0.41745730550284627,bert
clothing~skirts~high-waisted skirts,0.5311572700296736,0.4216725559481743,0.4701247537754432,849,0.5049365303244007,bert
clothing~skirts~pleated skirts,0.6864406779661016,0.81,0.743119266055046,400,0.7080419580419581,bert
clothing~trousers~cropped trousers,0.8079295154185022,0.6444132115249473,0.7169663799843627,1423,0.7689082676505116,bert
shoes~trainers~n/d,0.9719298245614035,0.9453924914675768,0.9584775086505191,293,0.9665038381018841,bert
clothing~trousers~flared trousers,0.6352583586626139,0.6886326194398682,0.6608695652173913,607,0.6452608829885766,bert
lingerie & nightwear~bras~n/d,0.3783783783783784,0.8235294117647058,0.5185185185185186,34,0.4242424242424242,bert
lingerie & nightwear~loungewear~n/d,0.375,0.36585365853658536,0.3703703703703704,41,0.373134328358209,bert
pre-owned~coats~n/d,0.9325842696629213,0.9651162790697675,0.9485714285714285,86,0.9389140271493213,bert
pre-owned~dresses~n/d,1.0,0.9830508474576272,0.9914529914529915,177,0.9965635738831615,bert
pre-owned~jackets~n/d,0.9533678756476683,0.8975609756097561,0.9246231155778895,205,0.9416581371545546,bert
pre-owned~skirts~n/d,1.0,1.0,1.0,88,1.0,bert
pre-owned~tops~n/d,0.9358974358974359,0.9798657718120806,0.957377049180328,298,0.9443725743855111,bert
pre-owned~trousers~n/d,1.0,0.9523809523809523,0.975609756097561,84,0.9900990099009901,bert
shoes~boots~n/d,0.9882352941176471,0.9905660377358491,0.9893992932862192,424,0.9887005649717516,bert
lingerie & nightwear~bodies~n/d,0.2543859649122807,0.6823529411764706,0.37060702875399365,85,0.29087261785356067,bert
shoes~derby shoes~n/d,0.9696969696969697,0.9411764705882353,0.955223880597015,34,0.963855421686747,bert
shoes~flip flops & slides~n/d,0.7142857142857143,0.8333333333333334,0.7692307692307692,42,0.7352941176470589,bert
shoes~loafers~n/d,0.9801980198019802,0.9519230769230769,0.9658536585365853,104,0.9744094488188976,bert
